Tipo de item,Chave da item,ID da item,Resumo,Pai,Chave pai,Parent summary,Status,Campo personalizado (Start date),Resolvido,Responsável,ID do responsável,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Campo personalizado (Data final)
Subtarefa,FRONT-122,96819,[QA] LP publicada,87393,FRONT-8,FRONT: Trazer LP para dentro da nova plataforma,Concluído,,10/abr/26 3:02 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,10/abr/26 3:02 PM
Subtarefa,FRONT-121,96817,[QA] Não consegui acessar a LP criada,87393,FRONT-8,FRONT: Trazer LP para dentro da nova plataforma,Concluído,,10/abr/26 3:03 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,10/abr/26 3:03 PM
Subtarefa,FRONT-120,96815,[QA] Card de configuração de domínio está cortado,87393,FRONT-8,FRONT: Trazer LP para dentro da nova plataforma,Concluído,,10/abr/26 3:05 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,10/abr/26 3:05 PM
Subtarefa,FRONT-119,96813,[QA] Drawer,87393,FRONT-8,FRONT: Trazer LP para dentro da nova plataforma,Concluído,,10/abr/26 3:07 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,10/abr/26 3:07 PM
História,FRONT-11,90302,11.  FRONT: Validação de Nome Duplicado em Campanhas,101383,FRONT-362,2.0 Campanhas,Concluído,,10/abr/26 3:24 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,,,10/abr/26 3:24 PM
História,FRONT-6,92291,11. FRONT: Tela do SDK,101402,FRONT-371,2.0 Configurações,Concluído,,10/abr/26 4:11 PM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,,,10/abr/26 4:11 PM
Subtarefa,FRONT-223,98155,Verificar login da plataforma através do commerce,97965,FRONT-213,Ajustes pós pente fino: PRIORITÁRIOS,Concluído,,19/mar/26 2:01 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 36,Sprint 37,Sprint 38,,,,,,10/abr/26 4:47 PM
História,FRONT-213,97965,Ajustes pós pente fino: PRIORITÁRIOS,97180,FRONT-125,2.0 Geral,Concluído,,10/abr/26 4:49 PM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 36,Sprint 37,Sprint 38,,,,,,10/abr/26 4:49 PM
Problema,FRONT-351,101021,[SMB] Bagy - 142 bennesh| Erro ao disparo pontual de campanhas e-mail,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,10/abr/26 12:00 AM,10/abr/26 5:49 PM,Anderson Silva,624c8d33ed4d6b007016e305,Sprint 38,,,,,,,,10/abr/26 5:49 PM
História,FRONT-32,96496,2.[FRONT] Ajuste para campanhas de Web Push - BTG,97510,FRONT-149,Melhorias plataforma 1.0,Concluído,,,Bárbara Auguste Fernandes Meirelles,712020:8f547731-dc4d-407c-a6b5-bea39b910335,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 10:08 AM
Subtarefa,FRONT-356,101103,Fluxo de remoção de e-mails soft bounce,92602,FRONT-9,Problemas de entregabilidade,Concluído,,13/abr/26 10:16 AM,Gustavo Bium Donadon,712020:783b53ab-197a-4286-9246-158f752f3aa2,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,Sprint 39,,,13/abr/26 10:16 AM
Problema,POS-3831,100367,Balaroti ID 50755 | Filtros baseados em datas,73272,POS-221,Sys-Ops | Cards Operacionais,Concluído,,13/abr/26 10:32 AM,Pedro Dib,5bc4ae2aa1a6a72f4761a152,Sprint 37,Sprint 38,,,,,,,13/abr/26 10:32 AM
Problema,POS-3859,100868,Erro em lista - Falta de ações // LP Beauty Afiliados 50833 e 50839	,73272,POS-221,Sys-Ops | Cards Operacionais,Concluído,,13/abr/26 10:33 AM,Pedro Dib,5bc4ae2aa1a6a72f4761a152,Sprint 38,,,,,,,,13/abr/26 10:33 AM
Subtarefa,POS-3876,101067,[Nabuco] Scheduler conf - Execução instantânea - Não é enviada para fila  ,98714,POS-3772,Estruturação do motor de consolidação de dados,Concluído,,13/abr/26 10:37 AM,Sávio,5bbfb807412ef82f09606a29,Sprint 37,Sprint 38,,,,,,,13/abr/26 10:37 AM
Tarefa,POS-3772,98714,Estruturação do motor de consolidação de dados,97007,POS-3696,2.0 BTG ,Concluído,,13/abr/26 10:37 AM,Sávio,5bbfb807412ef82f09606a29,Sprint 37,Sprint 38,,,,,,,13/abr/26 10:37 AM
História,FRONT-14,89124,7. FRONT: Disponibilizar templates pré prontos  Studio (e-mail e whatsapp),101386,FRONT-365,2.0 Landing Page,Concluído,,13/abr/26 10:48 AM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,,,13/abr/26 10:48 AM
História,FRONT-15,91698,5.FRONT: Envio de teste de WhatsApp,101383,FRONT-362,2.0 Campanhas,Concluído,,13/abr/26 10:57 AM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 10:57 AM
História,FRONT-10,90346,10. FRONT: Possibilidade de salvar campanhas em rascunho,101383,FRONT-362,2.0 Campanhas,Concluído,,13/abr/26 10:59 AM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,,,13/abr/26 11:00 AM
História,FRONT-86,96892,4. Regra de envio de teste - email e whats,101383,FRONT-362,2.0 Campanhas,Concluído,09/abr/26 12:00 AM,13/abr/26 11:06 AM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 36,Sprint 38,,,,,,,13/abr/26 11:06 AM
Subtarefa,FRONT-117,96809,[QA] LPs em rascunho,87393,FRONT-8,FRONT: Trazer LP para dentro da nova plataforma,Concluído,,13/abr/26 11:08 AM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,13/abr/26 11:08 AM
Subtarefa,FRONT-301,100411,Ajuste do critério “Abandono de carrinho”,100198,FRONT-280,Ajustes segmentador,Concluído,,08/abr/26 3:46 PM,,,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 11:11 AM
Problema,FRONT-276,100064,[SMB] 1435509 - HMulti| Problema no envio de campanhas via WhatsApp,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,08/abr/26 12:00 AM,10/abr/26 10:04 AM,Gustavo Bium Donadon,712020:783b53ab-197a-4286-9246-158f752f3aa2,Sprint 37,Sprint 38,,,,,,,13/abr/26 11:24 AM
Problema,FRONT-348,100949,[SMB] 1393192 Prisma Cosmeticos| Problema no disparo de campanha teste,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,09/abr/26 12:00 AM,13/abr/26 11:26 AM,Anderson Silva,624c8d33ed4d6b007016e305,Sprint 38,,,,,,,,13/abr/26 11:26 AM
Subtarefa,FRONT-305,100419,Padronização dos campos fixos nas regras do segmentador conforme protótipo,100198,FRONT-280,Ajustes segmentador,Concluído,07/abr/26 12:00 AM,08/abr/26 4:20 PM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:03 PM
Subtarefa,FRONT-282,100202,O card de detalhes das segmentações não estão abrindo ,100198,FRONT-280,Ajustes segmentador,Concluído,,06/abr/26 6:41 PM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:04 PM
Subtarefa,FRONT-281,100200,Erro de renderização do segmentador em tela de notebook,100198,FRONT-280,Ajustes segmentador,Concluído,13/abr/26 12:00 AM,13/abr/26 2:04 PM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:04 PM
Subtarefa,FRONT-285,100208,Inclusão de ícone no construtor de segmento,100198,FRONT-280,Ajustes segmentador,Concluído,,06/abr/26 8:48 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:12 PM
Subtarefa,FRONT-286,100210,Alteração de ícone Nenhum segmento criado,100198,FRONT-280,Ajustes segmentador,Concluído,,06/abr/26 8:48 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:13 PM
Subtarefa,FRONT-289,100216,Inclusão do critério “Regra de automação” em Segmentação de base,100198,FRONT-280,Ajustes segmentador,Concluído,,07/abr/26 9:15 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:19 PM
Subtarefa,FRONT-291,100220,Inconsistência nos nomes de listas no segmentador,100198,FRONT-280,Ajustes segmentador,Concluído,,06/abr/26 6:44 PM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:20 PM
Subtarefa,FRONT-292,100222,Inconsistência na contagem de contatos das listas no segmentador,100198,FRONT-280,Ajustes segmentador,Concluído,,07/abr/26 9:16 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 2:21 PM
Subtarefa,FRONT-295,100230,Ajuste de layout ao selecionar múltiplas listas,100198,FRONT-280,Ajustes segmentador,Concluído,,07/abr/26 9:16 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 3:02 PM
Tarefa,POS-3885,101380,Ajuste Segmentador - Audiência Pré Definida,101388,POS-3886,2.0 Segmentador,Concluído,13/abr/26 12:00 AM,13/abr/26 3:40 PM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 38,,,,,,,,13/abr/26 3:41 PM
Subtarefa,FRONT-296,100265,Ajuste das opções de Régua Automática,100198,FRONT-280,Ajustes segmentador,Concluído,,06/abr/26 6:40 PM,,,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 3:45 PM
Subtarefa,FRONT-297,100267,Ajuste para seleção múltipla em Régua Automática,100198,FRONT-280,Ajustes segmentador,Concluído,,06/abr/26 10:56 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 3:46 PM
Subtarefa,FRONT-300,100409,Ajuste do placeholder no critério “Data da compra”,100198,FRONT-280,Ajustes segmentador,Concluído,,07/abr/26 9:17 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 3:51 PM
Subtarefa,FRONT-283,100204,Revisar responsividade nas telas do segmentador,100198,FRONT-280,Ajustes segmentador,Concluído,,06/abr/26 6:42 PM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 3:56 PM
Subtarefa,FRONT-303,100415,Ajuste no optin de e-mail e whatsapp,100198,FRONT-280,Ajustes segmentador,Concluído,13/abr/26 12:00 AM,13/abr/26 4:06 PM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 4:06 PM
Subtarefa,FRONT-169,97842,Studio - ajuste na ação Limpar Filtros,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,18/mar/26 3:40 PM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 4:28 PM
Subtarefa,FRONT-159,97823,Home - Ajustar alinhamento entre blocos,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,18/mar/26 9:29 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 4:30 PM
Subtarefa,FRONT-160,97825,Home - Ajustar sombreamento ,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,18/mar/26 1:47 PM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 4:30 PM
Subtarefa,FRONT-161,97827,Home - Ajustar nome do card,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,17/mar/26 3:28 PM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 4:31 PM
Subtarefa,FRONT-171,97848,Studio - Ajustar status exibido para templates de WhatsApp,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,20/mar/26 10:11 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 4:32 PM
Dúvida,POS-3880,101272,Problema ao subir lista para SMS | 3720 - Instituto Quadrix,73272,POS-221,Sys-Ops | Cards Operacionais,Concluído,13/abr/26 12:00 AM,13/abr/26 4:36 PM,Pedro Dib,5bc4ae2aa1a6a72f4761a152,Sprint 38,,,,,,,,13/abr/26 4:36 PM
Tarefa,POS-3835,100403,Criação do Service de Consolidação de Navegação Semanal,97007,POS-3696,2.0 BTG ,Concluído,,13/abr/26 4:48 PM,Ricardo Barretto,5bc4ae2d49bd18289a64f694,Sprint 38,,,,,,,,13/abr/26 4:48 PM
Subtarefa,FRONT-172,97850,Studio - corrigir limitação de caracteres (texto do cabeçalho),97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,19/mar/26 10:29 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:00 PM
Subtarefa,FRONT-173,97852,Studio - corrigir contagem de caracteres (corpo da mensagem),97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,19/mar/26 10:48 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:02 PM
Subtarefa,FRONT-174,97855,Studio - Padronizar exibição de limite de caracteres,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,19/mar/26 11:14 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:02 PM
Subtarefa,FRONT-175,97857,"Studio - Incluir status ""Pendente"" no filtro de status da listagem de templates",97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,19/mar/26 11:36 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:04 PM
Subtarefa,FRONT-179,97896,"Studio - Bloquear edição de templates com status ""Pendente""",97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,19/mar/26 11:56 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:06 PM
Subtarefa,FRONT-181,97900,Studio - Padronizar o modal Excluir,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,23/mar/26 2:42 PM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:08 PM
Subtarefa,FRONT-182,97902,Studio - Ajustar nomenclatura ao duplicar templates para evitar nomes duplicados,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,23/mar/26 2:49 PM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:08 PM
Subtarefa,FRONT-183,97904,Studio - Corrigir ordenação de colunas na visualização em tabela,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,23/mar/26 4:38 PM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:09 PM
Subtarefa,FRONT-184,97906,Studio - Padronizar exibição de erro no modal de criação de templates,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,25/mar/26 9:45 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:11 PM
Subtarefa,FRONT-185,97908,Studio - Desabilitar o botão ao clicar várias vezes,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,25/mar/26 10:22 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:13 PM
Subtarefa,FRONT-186,97910,Studio - Retirar o botão voltar,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,25/mar/26 10:35 AM,Thiago Vilasboas,609e78d197f3d40070deda34,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:14 PM
Subtarefa,FRONT-193,97924,Visão de clientes - Ajustar ordenação,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,27/mar/26 4:07 PM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:15 PM
Subtarefa,FRONT-60,94011,Bug: Divergência de métricas entre telas da plataforma,97821,FRONT-158,Ajustes pós pente fino: SECUNDÁRIOS,Concluído,,13/abr/26 5:18 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:17 PM
História,FRONT-158,97821,Ajustes pós pente fino: SECUNDÁRIOS,97180,FRONT-125,2.0 Geral,Concluído,,13/abr/26 5:18 PM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 36,Sprint 37,Sprint 38,,,,,,13/abr/26 5:18 PM
Subtarefa,FRONT-288,100214,Ajustes no componente de preview,100198,FRONT-280,Ajustes segmentador,Concluído,,13/abr/26 5:46 PM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 5:46 PM
Subtarefa,FRONT-306,100421,Botão “Processar” não executa ação,100198,FRONT-280,Ajustes segmentador,Concluído,,13/abr/26 5:46 PM,,,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,13/abr/26 5:46 PM
Problema,FRONT-312,100519,[SMB] APPROVE | Desvincular crédito de conta WhatsApp antiga,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,13/abr/26 12:00 AM,14/abr/26 9:25 AM,Gustavo Bium Donadon,712020:783b53ab-197a-4286-9246-158f752f3aa2,Sprint 37,Sprint 38,,,,,,,14/abr/26 9:25 AM
Subtarefa,FRONT-304,100417,Ajuste do critério de Engajamento conforme protótipo whatsapp e e-mail,100198,FRONT-280,Ajustes segmentador,Concluído,13/abr/26 12:00 AM,14/abr/26 9:29 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,14/abr/26 9:29 AM
Subtarefa,FRONT-284,100206,Ajustar tamanho do texto Construtor de Segmentador,100198,FRONT-280,Ajustes segmentador,Concluído,13/abr/26 12:00 AM,14/abr/26 9:30 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,14/abr/26 9:30 AM
Subtarefa,FRONT-287,100212,Ajuste de cor e posicionamento dos botões de Grupo de Inclusão e Grupo de Exclusão,100198,FRONT-280,Ajustes segmentador,Concluído,13/abr/26 12:00 AM,14/abr/26 9:32 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,14/abr/26 9:33 AM
Subtarefa,FRONT-293,100225,Correção na exibição e seleção de audiências pré-definidas,100198,FRONT-280,Ajustes segmentador,Concluído,13/abr/26 12:00 AM,14/abr/26 9:36 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 37,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,14/abr/26 9:36 AM
Problema,POS-3867,101016,UGG | Cadastro de cupons de vendedores | Document.hub,73272,POS-221,Sys-Ops | Cards Operacionais,Concluído,,14/abr/26 9:37 AM,Pedro Dib,5bc4ae2aa1a6a72f4761a152,Sprint 38,,,,,,,,14/abr/26 9:37 AM
